央视,#genre#
CCTV1综合,http://119.29.119.185:35454/migu/608807420.m3u8?migutoken=214c6383345d823ab95b302772806c2755519cfecf8af0f3a000e7a48f6e73e6d8585749aa05a704232cfa6ca5031691593ad3fd2ec19af13e6f4768b1b9b4ea5c354426196dc0130e3718c8cd
CCTV2财经,http://119.29.119.185:35454/migu/631780532.m3u8?migutoken=817b21f45686d4544c495fa6e077031d4e5588aee4d1f67611cc1075b74510946f9aaa175d8d4cddd86a81c920c0bbdc978dbbd7aae1fcec0c16024c11482c5aa18b58a193398b2160c9dab1a6
CCTV3综艺,http://119.29.119.185:35454/migu/624878271.m3u8?migutoken=68ed549b74ca6787dfffe104f7dc8dcdb1b58d26e76760f2f3cc6e10e13ed616348af78d73ac39560700fe700d54a6061c3908dd1e1a1c50f46eb3092461d0b6a6a6559888e5bf566b8089896b
CCTV4中文国际,http://119.29.119.185:35454/migu/631780421.m3u8?migutoken=63c70d9dd7cf92ba739cb3263de65e87c308494aa51d149b327ee401aafad9a61f53899f7e670886bae3c233e690cc2a90d4fb9fedb6b213051d205fcb279cefecf66576143571dc63bba3a2dd
CCTV5体育,http://119.29.119.185:35454/migu/641886683.m3u8?migutoken=6a79eb79817d160cf42dde8d6a23e5cda9ebbb2740820c354663f49c8ed17c569309a523f1bae36e303c287491441a990771f6d3c2de8827fac114077eb6f8c1948b48805ab77e1c358078bf26
CCTV5+体育赛事,http://119.29.119.185:35454/migu/641886773.m3u8?migutoken=65d21cc2bf47c604ab70d9bae68e9f569aa97be84adf498da0163106ecc1c3a55d30250f7eb0e739577e1f103839c6f56ea944178e987882ed20700180cb2906e40057338c9bee5ac6c144a08d
CCTV6电影,http://119.29.119.185:35454/migu/624878396.m3u8?migutoken=47eb30e4c3ec688ab8040cc75d5279f3f23933da337017bca083e49c1e5a9ee5347b42af806ee07efac38a0328db5e8be0c4b0bfc9f7bfc326256b267fae9b770b512dbcf0accc9f176f79092e
CCTV7国防军事,http://119.29.119.185:35454/migu/673168121.m3u8?migutoken=648c966bf9c44471b779f760f4fea58f83b1553c9a8d5bc1ae88a9675814fdaaf2cd8b5684aeac1819f088884192f9bb776d5875d976a15a3a74ee96a181c10e3315f8da7427f273f488c06a6e
CCTV8电视剧,http://119.29.119.185:35454/migu/624878356.m3u8?migutoken=5109e45e95066e41bb90a23e2582afbf8343c0412750ac18c76e47b8cafab89b61448b5ad5d68f831a9536084524c098c95d2e60562d35f106ae70b1f01f6fd42d9feed6af44475a631f76fda6
CCTV9纪录,http://119.29.119.185:35454/migu/673168140.m3u8?migutoken=4cda57d42a7ad80f1ab9b2142b5cbc202ac605666bdc4a7c00613f70713cf4ee49001f2da1cfdbfcec7bb17486567c7cd250aa093053e0a66c897088a0f3128610ce22e7f5bc32912e95afead6
